joint_delta_mean_vs_h012,joint_delta_p10_vs_h012,joint_delta_p90_vs_h012,joint_delta_max_vs_h012,joint_beats_h012_rate,uniform_joint_q_delta_vs_h012,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,h015_joint_delta_mean,h016_joint_delta_mean,gain_vs_h015_under_joint,gain_vs_h016_under_joint,h017_decision,decision_rank,file
-0.0005745006420256535,-0.0005745204902379546,-0.0005744812812442339,-0.0005744812812442339,1.0,-0.0005540731791096813,oracle_gain_all_k1650_a1,oracle_gain,all,1650,1.0,250,1650,0.01112877960311084,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007391546984286821,-0.00027821168797733477,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1650_a1_53487040.csv
-0.0005742973378429133,-0.0005743163898828317,-0.0005742789241305304,-0.0005742789241305304,1.0,-0.0005538865088221866,consensus_all_k1650_a1,consensus,all,1650,1.0,250,1650,0.011127183490751653,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007389513942459419,-0.00027800838379459463,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_consensus_all_k1650_a1_fa1c1ba2.csv
-0.0005678984123793215,-0.0005679178529361979,-0.0005678794294274957,-0.0005678794294274957,1.0,-0.000547341393062919,h016_gain_all_k1650_a1,h016_gain,all,1650,1.0,250,1650,0.010872371311359368,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007325524687823501,-0.0002716094583310028,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_h016_gain_all_k1650_a1_4b0c2462.csv
-0.0005677286172324616,-0.0005677429405315224,-0.0005677153806060175,-0.0005677153806060175,1.0,-0.0005473420772159515,oracle_gain_all_k1400_a1,oracle_gain,all,1400,1.0,250,1400,0.010608350671576507,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007323826736354902,-0.0002714396631841429,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1400_a1_001f63f1.csv
-0.0005636080494207905,-0.0005636222926664978,-0.0005635947995795822,-0.0005635947995795822,1.0,-0.0005430420171446941,consensus_all_k1400_a1,consensus,all,1400,1.0,250,1400,0.010393689050959958,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007282621058238191,-0.0002673190953724718,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_consensus_all_k1400_a1_43b6c9f0.csv
-0.0005484194545520858,-0.000548433150011334,-0.0005484067950269036,-0.0005484067950269036,1.0,-0.0005277117689171334,oracle_gain_all_k1100_a1,oracle_gain,all,1100,1.0,250,1100,0.009451559543374557,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007130735109551144,-0.0002521305005037671,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1100_a1_d95be141.csv
-0.0005477788365247175,-0.0005477961948791553,-0.0005477617770999297,-0.0005477617770999297,1.0,-0.0005259840952269073,weight_shift_all_k1650_a1,weight_shift,all,1650,1.0,250,1650,0.010420058683482556,0.10712119668730175,0.00016465405640302862,-0.0002962889540483187,-0.0007124328929277461,-0.0002514898824763988,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_weight_shift_all_k1650_a1_1b313da1.csv
-0.0005399133005777502,-0.0005399372076788403,-0.00053989015915962,-0.00053989015915962,1.0,-0.0005205913742932701,oracle_gain_all_k1650_a1.25,oracle_gain,all,1650,1.25,250,1650,0.013869872713998768,0.13312855958707037,0.00016465405640302862,-0.0002962889540483187,-0.0007045673569807788,-0.00024362434652943152,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1650_a1.25_c65a7401.csv
-0.0005397144380619663,-0.0005397375234175117,-0.0005396922726834561,-0.0005396922726834561,1.0,-0.0005204092367796087,consensus_all_k1650_a1.25,consensus,all,1650,1.25,250,1650,0.01386788196454887,0.13312855958707037,0.00016465405640302862,-0.0002962889540483187,-0.0007043684944649949,-0.0002434254840136476,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_consensus_all_k1650_a1.25_1ff4a608.csv
-0.000539429420455234,-0.0005394443057502253,-0.0005394149006190055,-0.0005394149006190055,1.0,-0.000520164332887345,oracle_gain_all_k1650_a0.75,oracle_gain,all,1650,0.75,250,1650,0.008371934530751546,0.08142080446424049,0.00016465405640302862,-0.0002962889540483187,-0.0007040834768582626,-0.0002431404664069153,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1650_a0.75_80c82e5a.csv
-0.0005392331745017252,-0.0005392474626616596,-0.000539219364972616,-0.000539219364972616,1.0,-0.0005199845925430797,consensus_all_k1650_a0.75,consensus,all,1650,0.75,250,1650,0.008370728483876747,0.08142080446424049,0.00016465405640302862,-0.0002962889540483187,-0.0007038872309047538,-0.0002429442204534065,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_consensus_all_k1650_a0.75_41b05b21.csv
-0.0005337272347048803,-0.0005337506324703831,-0.0005337045653576903,-0.0005337045653576903,1.0,-0.0005142838719042014,h016_gain_all_k1650_a1.25,h016_gain,all,1650,1.25,250,1650,0.01354879628545597,0.13312855958707037,0.00016465405640302862,-0.0002962889540483187,-0.0006983812911079089,-0.0002374382806565616,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_h016_gain_all_k1650_a1.25_8708e171.csv
-0.0005335208271727124,-0.0005335387323555199,-0.0005335042804949235,-0.0005335042804949235,1.0,-0.0005142463352835582,oracle_gain_all_k1400_a1.25,oracle_gain,all,1400,1.25,250,1400,0.013219546649460033,0.13312855958707037,0.00016465405640302862,-0.0002962889540483187,-0.000698174883575741,-0.00023723187312439366,joint_world_sensor,1,hitl/h017_joint_label_weight_jepa/submission_h017_oracle_gain_all_k1400_a1.25_1b90cc5b.csv
